id_locadora+filial,id_filial,id_locadora,id_grupo,valor_total
6132,32,61,3,144.54
6132,32,61,3,147.91
6132,32,61,3,150.13
6132,32,61,1,156.85
6132,32,61,3,171.43
6132,32,61,3,173.67
6132,32,61,3,174.79
6132,32,61,1,183.75
6132,32,61,3,184.87
6132,32,61,1,187.11
6132,32,61,3,202.79
6132,32,61,1,266.67
6132,32,61,3,287.97
6132,32,61,1,287.97
6132,32,61,15,289.08
6132,32,61,6,347.35
6132,32,61,3,430.27
6132,32,61,1,430.27
6132,32,61,6,460.52
6132,32,61,15,501.97
6132,32,61,3,504.23
6132,32,61,6,546.79
6132,32,61,12,647.64
6132,32,61,1,657.73
6132,32,61,6,730.56
6132,32,61,6,765.3
6132,32,61,1,873.99
6132,32,61,6,919.96
6132,32,61,6,986.06
6132,32,61,12,1039.85
6132,32,61,1,1142.93
6132,32,61,6,1307.65
6132,32,61,14,1407.37
6132,32,61,10,1638.21
27,7,2,12,226.67
27,7,2,13,249.34
27,7,2,7,272.01
27,7,2,1,272.01
27,7,2,11,322.89
6141,41,61,1,78.67
6141,41,61,3,82.04
6141,41,61,3,84.27
6141,41,61,3,85.41
6141,41,61,3,85.41
6141,41,61,3,85.41
6141,41,61,1,89.89
6141,41,61,3,89.89
6141,41,61,1,89.9
6141,41,61,3,91.03
6141,41,61,3,96.64
6141,41,61,3,117.99
6141,41,61,3,119.12
6141,41,61,1,120.24
6141,41,61,12,125.87
6141,41,61,1,129.24
6141,41,61,3,129.24
6141,41,61,15,159.58
6141,41,61,3,338.3
6141,41,61,14,448.42
6141,41,61,3,493.4
6141,41,61,1,556.34
6141,41,61,3,556.34
6141,41,61,3,581.05
6141,41,61,12,619.26
6141,41,61,6,660.86
6141,41,61,3,706.93
6141,41,61,6,706.93
6141,41,61,15,745.15
6141,41,61,14,747.42
6141,41,61,3,831.7
6141,41,61,1,840.7
6141,41,61,6,933.98
6141,41,61,6,980.05
6141,41,61,12,1032.89
6141,41,61,15,1053.12
6141,41,61,1,1118.30
257,57,2,11,52.97
257,57,2,9,54.55
257,57,2,11,57.08
257,57,2,11,58.8
257,57,2,1,59.94
257,57,2,11,59.94
257,57,2,1,66.73
257,57,2,12,68.06
257,57,2,9,68.68
257,57,2,9,68.68
257,57,2,11,69.37
257,57,2,1,70.06
257,57,2,11,70.76
257,57,2,11,71.45
257,57,2,1,72.84
257,57,2,11,72.84
257,57,2,1,90.19
257,57,2,12,91.99
257,57,2,3,92.9
257,57,2,1,94.7
257,57,2,3,94.7
257,57,2,1,99.22
617,7,61,3,88.78
617,7,61,3,91.03
617,7,61,3,93.27
617,7,61,3,97.77
617,7,61,1,101.14
617,7,61,3,106.76
617,7,61,3,110.14
617,7,61,3,111.25
617,7,61,3,112.37
617,7,61,1,118
617,7,61,3,119.12
617,7,61,1,119.12
617,7,61,6,164.09
617,7,61,12,169.69
617,7,61,3,187.68
617,7,61,3,205.66
617,7,61,3,238.25
617,7,61,3,261.87
617,7,61,3,266.34
617,7,61,1,267.48
617,7,61,14,288.82
617,7,61,1,292.22
617,7,61,3,292.22
617,7,61,15,293.32
617,7,61,1,297.84
617,7,61,3,337.16
617,7,61,3,386.62
617,7,61,3,434.93
617,7,61,1,436.06
617,7,61,3,436.06
6141,41,61,3,70.57
6141,41,61,3,72.82
6141,41,61,3,73.93
6141,41,61,3,75.07
6141,41,61,1,77.3
6141,41,61,3,81.79
6141,41,61,3,82.92
6141,41,61,3,84.02
6141,41,61,3,84.02
6141,41,61,3,85.15
6141,41,61,1,88.5
6141,41,61,3,88.51
6141,41,61,3,89.62
6141,41,61,1,89.62
6141,41,61,3,96.34
6141,41,61,3,116.53
6141,41,61,1,118.76
6141,41,61,3,118.76
6141,41,61,3,118.76
6141,41,61,12,125.49
6141,41,61,3,127.72
6141,41,61,1,127.72
6141,41,61,15,157.97
6141,41,61,3,237.53
6141,41,61,3,337.27
6141,41,61,14,447.06
6141,41,61,3,491.91
6141,41,61,1,549.03
6141,41,61,3,549.03
6141,41,61,3,579.29
6141,41,61,12,617.39
6141,41,61,6,652.12
6141,41,61,6,698.08
6141,41,61,3,704.79
6141,41,61,15,736.18
6141,41,61,14,738.42
6141,41,61,10,761.95
6141,41,61,3,829.18
6141,41,61,1,838.16
6141,41,61,6,931.15
6141,41,61,6,977.08
6141,41,61,12,1029.76
6141,41,61,15,1049.93
6141,41,61,1,1114.91
6141,41,61,10,1415.24
257,57,2,11,29.21
257,57,2,9,30.12
257,57,2,11,32.85
257,57,2,11,33.83
257,57,2,1,34.49
257,57,2,11,34.49
257,57,2,1,41.06
257,57,2,12,41.88
257,57,2,1,43.11
257,57,2,9,75.56
257,57,2,9,75.56
257,57,2,11,76.32
257,57,2,11,77.85
257,57,2,11,78.61
257,57,2,1,80.14
257,57,2,11,80.14
257,57,2,1,99.22
257,57,2,10,100.32
257,57,2,12,101.19
257,57,2,3,102.18
257,57,2,1,104.17
257,57,2,3,104.17
257,57,2,10,105.34
257,57,2,1,109.13
617,7,61,3,102.21
27,7,2,11,31.02
27,7,2,9,32.57
27,7,2,11,33.82
27,7,2,11,33.82
27,7,2,16,33.82
27,7,2,9,35.49
27,7,2,11,35.49
27,7,2,1,35.85
27,7,2,1,37.27
27,7,2,11,37.54
27,7,2,1,39.04
27,7,2,11,39.4
27,7,2,1,40.52
27,7,2,1,40.82
27,7,2,11,41.33
27,7,2,12,41.33
27,7,2,3,41.74
27,7,2,1,42.55
27,7,2,12,42.87
27,7,2,3,43.27
27,7,2,11,45.72
27,7,2,1,48.99
27,7,2,3,48.99
27,7,2,1,51.03
27,7,2,11,162.9
27,7,2,10,162.9
27,7,2,12,162.9
27,7,2,4,181
27,7,2,10,181
27,7,2,12,186.43
27,7,2,10,195.55
27,7,2,4,199.1
27,7,2,10,215.1
27,7,2,12,217.2
27,7,2,12,226.67
6132,32,61,12,1043.01
6132,32,61,1,1203.73
6132,32,61,6,1311.63
6132,32,61,14,1425.13
6132,32,61,10,1643.19
6141,41,61,3,71.91
6141,41,61,3,73.05
6141,41,61,3,74.16
6141,41,61,3,75.29
241,41,2,11,58.34
241,41,2,9,59.53
241,41,2,16,69.8
241,41,2,11,70.51
241,41,2,9,71.88
241,41,2,11,72.61
241,41,2,11,72.62
241,41,2,1,74.03
241,41,2,11,74.03
241,41,2,1,76.24
241,41,2,11,76.24
241,41,2,11,77.69
241,41,2,9,79.87
241,41,2,11,79.87
241,41,2,1,85.02
241,41,2,11,86.72
241,41,2,12,86.72
241,41,2,1,87.03
241,41,2,3,87.57
241,41,2,1,88.42
241,41,2,11,88.77
241,41,2,12,88.77
241,41,2,1,89.27
241,41,2,3,89.27
241,41,2,3,89.64
241,41,2,1,91.38
241,41,2,11,119.6
241,41,2,12,122.21
241,41,2,12,123.5
241,41,2,13,177.63
241,41,2,12,181.29
241,41,2,12,183.12
241,41,2,1,192.28
241,41,2,7,219.75
241,41,2,11,322.89
6141,41,61,3,72.73
6141,41,61,3,72.74
6141,41,61,3,74.98
6141,41,61,3,76.1
6141,41,61,1,79.45
6141,41,61,3,81.69
6141,41,61,3,85.04
6141,41,61,3,86.16
6141,41,61,3,86.16
6141,41,61,3,86.16
6141,41,61,1,89.52
6141,41,61,1,90.65
6141,41,61,3,90.65
6141,41,61,3,91.75
6141,41,61,3,98.47
6141,41,61,3,118.62
6141,41,61,3,119.75
6141,41,61,1,120.85
6141,41,61,12,125.34
6141,41,61,1,130.93
6141,41,61,3,130.93
6141,41,61,3,237.25
6141,41,61,3,336.88
6141,41,61,14,446.54
6141,41,61,3,491.33
6141,41,61,3,565.19
6141,41,61,1,565.19
6141,41,61,3,578.61
6141,41,61,12,616.66
6141,41,61,6,671.51
6141,41,61,3,703.96
6141,41,61,6,718.52
6141,41,61,15,757.69
6141,41,61,14,758.81
6141,41,61,3,828.2
6141,41,61,1,837.17
6141,41,61,6,930.05
6141,41,61,6,975.93
6141,41,61,12,1028.55
6141,41,61,15,1048.69
6141,41,61,1,1113.60
617,7,61,3,89.52
617,7,61,3,91.75
617,7,61,3,93.98
617,7,61,3,98.47
617,7,61,1,102.95
617,7,61,3,108.54
617,7,61,3,111.9
617,7,61,3,113.03
617,7,61,3,113.03
617,7,61,3,115.26
617,7,61,1,118.62
617,7,61,1,118.62
617,7,61,3,120.85
617,7,61,6,166.75
617,7,61,12,168.98
617,7,61,3,189.15
617,7,61,3,208.15
617,7,61,3,241.74
617,7,61,3,265.25
617,7,61,3,269.7
617,7,61,1,270.83
617,7,61,14,287.61
617,7,61,1,296.58
617,7,61,3,296.58
617,7,61,15,297.69
617,7,61,1,302.17
617,7,61,3,335.75
617,7,61,3,384.99
617,7,61,3,433.11
617,7,61,1,443.19
617,7,61,3,443.19
617,7,61,15,465.56
617,7,61,14,468.96
617,7,61,6,473.4
617,7,61,3,503.64
617,7,61,6,562.95
617,7,61,1,656.95
617,7,61,3,703.96
617,7,61,3,746.51
617,7,61,15,821.48
617,7,61,1,832.67
617,7,61,1,872.96
617,7,61,6,975.93
617,7,61,6,984.9
617,7,61,10,1005.03
617,7,61,12,1028.55
617,7,61,1,1141.59
617,7,61,1,1257.99
617,7,61,12,1326.27
617,7,61,6,1374.37
617,7,61,6,1666.50
617,7,61,3,87.38
617,7,61,3,89.62
617,7,61,3,91.87
617,7,61,3,96.34
617,7,61,1,100.83
617,7,61,3,106.44
617,7,61,3,108.67
617,7,61,3,109.8
617,7,61,3,110.91
617,7,61,3,115.39
617,7,61,1,116.53
617,7,61,3,117.63
617,7,61,1,118.76
617,7,61,6,162.46
617,7,61,12,169.18
617,7,61,3,184.87
617,7,61,3,202.79
617,7,61,3,235.29
617,7,61,3,258.83
617,7,61,3,262.17
617,7,61,14,287.95
